vendor,price,cat1,cat2,cat3,title
420highstreet,0.219951,Drugs,Cannabis,Weed,"1 POUND GREENHOUSE -- PINEAPPLE EXPRESS, GREEN CRACK, CANDYLAND, "
73caprice,0.001776,Drugs,Opiates,Oxycodone,"Percocet IP 10/325mg(17.00$) Overnight "
73caprice,0.002821,Drugs,Stimulants,Amphetamine,"30mg IR Aderall Cor136 Pharma grade EXPRESS"
73caprice,0.004075,Drugs,Opiates,Oxycodone,"Hydrocodone (14$ a piece) ( Norco 10/325mg) (36|01) OVERNIGHT AVA"
73caprice,0.004911,Drugs,Opiates,Oxycodone,"15mg Oxycodone aka Roxies 15 e52 EXPRESS OFFERED"
acab840,0.055635,Drugs,Opiates,Oxycodone,"[EXTREME DISCOUNT] OXYCONTIN 80MG MUNDIPHARMA -28 TABS-"
acc4btc,0.000104,Other products,Digital items,Other digital,"CBS All Access Premium Account |LIFETIME WARRANTY|"
acc4btc,0.000105,Other products,Digital items,Other digital,"Bitdefender Premium Account |LIFETIME WARRANTY|"
acc4btc,0.000105,Other products,Digital items,Other digital,"Napster Premium Account |LIFETIME WARRANTY|"
acc4btc,0.000105,Other products,Digital items,Other digital,"Pandora Premium Account |LIFETIME WARRANTY|"
alexandrea,0.0,Other products,Self-defence,Guns and ammo,"Copy of Copy of Copy of Copy of Glock 26"
alexandrea,0.0,Other products,Self-defence,Guns and ammo,"Copy of Copy of Copy of Glock 26"
alexandrea,0.0,Other products,Self-defence,Guns and ammo,"Copy of Copy of Glock 26"
alexandrea,0.156511,Other products,Self-defence,Guns and ammo,"Used G43"
alexandrea,0.156731,Other products,Self-defence,Guns and ammo,"Copy of Used G43"
alexandrea,0.208681,Other products,Self-defence,Guns and ammo,"Glock 26"
alexandrea,0.208975,Other products,Self-defence,Guns and ammo,"Copy of Copy of Glock 26"
alexandrea,0.208975,Other products,Self-defence,Guns and ammo,"Copy of Glock 26"
alexandrea,0.209336,Other products,Self-defence,Guns and ammo,"Glock 26"
alexandrea,0.229549,Other products,Self-defence,Guns and ammo,"H&amp;K P2000 SK"
alexandrea,0.386603,Other products,Self-defence,Guns and ammo,"Copy of Glock 17 with silencer"
alexandrea,0.387272,Other products,Self-defence,Guns and ammo,"Glock 17 with silencer"
alexandrea,0.41795,Other products,Self-defence,Guns and ammo,"Copy of AR with Silencer"
alexandrea,0.418672,Other products,Self-defence,Guns and ammo,"AR with Silencer"
alko,0.001935,Drugs,Empathogens,Ecstasy,"1 Kpl Lime Vihreät Dominot 15e / kpl "
alko,0.002693,Drugs,Cannabis,Weed,"Black Mamba - Indica - 1g / 17e - ALE-"
alko,0.002821,Drugs,Empathogens,Ecstasy,"Pinkki Coca Cola 200mg ( VAIN 5 KPL !)"
alko,0.003096,Drugs,Empathogens,Ecstasy,"2 Kpl Lime Vihreät Dominot 12e /  kpl "
alko,0.006321,Drugs,Cannabis,Weed,"Grinded Mix 3 G - 1G / 15e"
alko,0.007358,Drugs,Cannabis,Weed,"Channel+  - 3G - Hybridi - 1g / 19e"
alko,0.007824,Drugs,Cannabis,Weed,"Black Mamba - Indica - 3g / 19e"
alko,0.011618,Drugs,Cannabis,Weed,"Channel+  - 5G - Hybridi - 1g / 18e"
alko,0.012065,Drugs,Cannabis,Weed,"Pink Custom order"
alko,0.014365,Drugs,Cannabis,Weed," Black Mamba - Indica - 6g / 18e"
alko,0.021944,Drugs,Cannabis,Weed,"Channel+  - 10G - Hybridi 1g / 17e"
alko,0.038991,Drugs,Cannabis,Weed,"Black Mamba - Indica - 20g / 15e !ALE!"
