vendor,price,cat1,cat2,cat3,title
dope-mail-service,0.047054,Drugs,Opiates,Heroin,'7 gr. Afghan Heroin high quality! '
houseofdrugs,0.003334,Drugs,Psychedelics,LSD,'3 LSD Blotters 170~180μg'
underground-drugs,0.041694,Drugs,Cannabis,Weed,'50 g White Widow Organic Weed indoor'
letswork,0.008016,Drugs,Stimulants,Cocaine,'★TOP SHELF 1G Cocaine★ Clean, Pure, FREE UK FIRST CLASS'
rxhind,0.11899,,Drugs,Pharmacy,'Meridia 10mg x 1000 capsule - Offer 20% extra'
eztkapdel,0.011352,Drugs,Pharmacy,Benzos,'100 x Roche Valium - 10mg Diazepam'
goingpostai,0.003965,Drugs,Stimulants,Metamphetamine,'1.0 GRAMS CRYSTAL METH ICE SHARDS - REAGENT TESTED'
bmg1,0.012684,,Drugs,Cannabis,'BMG's 10 SEEDS LARRY OG X PURPLE ALIEN'
appleinc,0.004906,,Drugs,Pharmacy,'25 x 10mg Roche Diazepam (Loose)'
amsterdam-dream,0.016158,Drugs,Psychedelics,Mushrooms,'1 oz (28g) Potent Mexican Magic Mushrooms &amp; Free shipping'
kingofthetrill,0.097558,Other products,Self-defence,Guns and ammo,'Used - .380 Special - Revolver - Snub Nose'
cbdqueenuk,0.0,Drugs,Psychedelics,LSD,'25 x 180ug anonymous blotters '
tollanpey,0.015151,Drugs,Pharmacy,Benzos,'Rivotril Klonazepam Roche 250pills*2mg'
nextgeneration,0.007515,Drugs,Cannabis,Weed,'Lemon Diesel  7g FREE UK NDD'
mistagreenabis,0.037706,Drugs,Cannabis,Weed,'2 oz Purple Dream greenhouse weed (56 g)'
simply-wild,0.031841,Drugs,Cannabis,Hash,'★ ★ 50 Gr of Moroccan Hiya Hash Super HIGH Quality ★ ★'
dreamdoc,0.095522,Other products,Services,Money,'Super Best Quality counterfeit Notes 300x$10= $3000 Promotion'
drugs-evil,0.127793,Drugs,Opiates,Heroin,'30 GR HEROIN FROM PAKISTAAN VERY STRONG AAA+++'
qzfwrty,0.032053,Drugs,Opiates,Oxycodone,'10 roxy30 mg only $30 10  A215/K9/M30/a51'
frontstreet,0.006669,Drugs,Cannabis,Hash,'10 gr. HIGH QUALITY MOROCCO HASH'
canadianpharmacy,0.017552,Drugs,Opiates,Oxycodone,'[US-US] 20 TABS x Oxycodone 30mg K9 imprint $149.99 HIGH QUALITY!'
leftcoast,0.001881,Drugs,Stimulants,Metamphetamine,'Promo! 0.5 g HQ Crystal Methamphetamine Shards'
noogz,0.006798,Drugs,Stimulants,Amphetamine,'50 DOC 2,5-Dimethoxy-4-chloroamphetamine'
dopeplanet,0.022084,Drugs,Opiates,Heroin,'2.5 gr. Heroin brown  (dark brown)'
underground-drugs,0.04526,Drugs,Psychedelics,LSD,'100 X LSD HOFMANN 220ug clean pure Crystals'
md,0.584324,Drugs,Psychedelics,LSD,'LSD - Goblin's Den [200mcg] - 2000 tabs'
cerberus,0.003208,Other products,Classifieds,Replicas,'Michael Kors sandals Peach size EU 39 UK 6'
md,0.000103,Other products,Digital items,Identity data,'VERMONT DRIVER'S LICENSE PSD SCANS TEMPLATES'
pharmroids,0.006888,Other products,Body building,Other injectables,'Parabolan | 5 x 1ml amp (100 mg/ml) - Balkan Pharmaceuticals'
cooperman,0.010067,Drugs,Cannabis,Weed,'Girl Scout Cookies Ten Grams'
theshop,0.000103,Other products,Digital items,Other digital,'♕ How To Be A Pro Carder ♕'
md,0.000521,Other products,Digital items,Other digital,'Adf.ly + iView + Youtube View Increaser + Url &amp; Proxy + Add Me'
vaiue-iucid,0.038983,Drugs,Empathogens,Ecstasy,'100 x XTC Pokemon Pikachu MDMA 210mg'
fortunepharmacy,0.007837,Drugs,Opiates,Fentanyl,'1g U-47700 uncut (Similar to heroin)'
party-hits,0.042755,Drugs,Stimulants,Cocaine,'6 gr. of high quality cocaine(fishscale)'
score-drugs,0.031238,Drugs,Empathogens,MDMA,'25 GR high quality MDMA COLA '
coconuts,0.017944,Drugs,Stimulants,Metamphetamine,'3.5G Crystal Meth'
the-scurvy-crew,0.241318,Drugs,Cannabis,Hash,'250G Hindu Kush (Indica) ~ FE PRICE ~'
hollanpetters,0.002087,,Other products,Self-defence,'Stun Gun / Taser'
ragstoriches1,0.281829,Drugs,Empathogens,Ecstasy,'❤ 500pcs MDMA pills ★ SILVER ★ 220mg ❤'
legendary-shop,0.019607,Drugs,Stimulants,Amphetamine,'50 GRAM SPEED PASTA AMPHETAMIN ##BEST QUALITY##'
letsdothissshit,0.00606,Drugs,Pharmacy,ADHD,'10 x Dexamphetamine Tablets (ASPEN) (5mg) - FREE EXPRESS POST'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'Transnational Threats: Smuggling and Trafficking in Arms, Drugs, '
