'/cerberus',0.003208,'Other products','Classifieds','Replicas','Michael Kors sandals Black'
'/prisma',0.01161,'Drugs','Cannabis','Weed','LOPPUERÄ!! 5g Jack Herer Talvikukkia (18€/g)'
'/dreamdoc',0.068414,'Other products','Services','Money','Super Best Quality counterfeit Notes 200x$10= $2000 Promotion'
'/ukweedshop',0.00379,'Drugs','Cannabis','Weed','3.5G £26 Medicinal Marihuana'
'/appleinc',0.004906,'Drugs','Pharmacy','Benzos','25 x 10mg Roche Diazepam (Loose)'
'/johnson-johnson',0.001458,'Drugs','Stimulants','Cocaine','1g Speed Paste 72% - Amphetamine Paste'
'/cocacolafr',0.005938,'Drugs','Empathogens','MDMA','3g MDMA 84% TOP QUALITY'
'/harrispowell',0.026185,'Drugs','Pharmacy','Sleep','Xanax Bars 2mg 100 pills'
'/drugs-spirit',0.002825,'Drugs','Cannabis','Weed','2 gr. of TOP GRADE Jack Herer Weed AAA+ indoor'
'/orangeone',0.004237,'Drugs','Pharmacy','Benzos','FREE SHIPPING-20 pils of 1 mg. Xanax original product Pfizer'
'/rocketchem',0.015025,'','Drugs','Pharmacy','Modalert ® 200 tablets 200mg of Modafinil by Sun pharma'
'/rotantappaja',0.011049,'Drugs','Stimulants','Amphetamine','Amfetamiini 3g n.40% '
'/dutchcandyshop',0.009667,'Drugs','Cannabis','Hash','10G ★★ MAROC KING HASH ★★ AAA+ High Quality'
'/galaxystore',0.006562,'Drugs','Psychedelics','LSD','⌛ 10pcs LSD-25 180ug ☯ GalaxyStore ⌛'
'/mrgoodguys',0.006167,'','Drugs','Cannabis','Tracking and Shipping'
'/charliechaplame',0.04237,'','Other products','Classifieds','quality Counterfeit 12 x 10,000 japanese yen note bill '
'/drugs-evil',0.052924,'Drugs','Stimulants','Cocaine',' 7 GR COCAINE CRISTAL VERY STRONG 92% ORGINAIL TOP AAA+++'
'/theonlinesource',0.000873,'Other products','Digital items','Erotica','BARELY LEGAL PORN ACCOUNT (warranty+freebies)'
'/underground-drugs',0.002967,'Drugs','Stimulants','Cocaine',' 0.25 gr PURE QUALITY COLOMBIAN COCAIN '
'/powderpharmacy',0.282351,'Drugs','Psychedelics','LSD','125ug 1000 x ALD-52 or 1P-LSD Blotter'
'/darknetvet',0.008884,'Drugs','Cannabis','Hash','14 gram Mazar-I-Sharif'
